Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),2023-01-04,Kg,44,64,54
Tomato Small(Local),2023-01-04,Kg,32,50,41
Potato Red,2023-01-04,Kg,48,68,58
Potato White,2023-01-04,Kg,37,59,48
Onion Dry (Indian),2023-01-04,Kg,59,88,73
Carrot(Local),2023-01-04,Kg,74,112,93
Cabbage(Local),2023-01-04,Kg,29,47,38
Cauliflower Local,2023-01-04,Kg,45,82,63
Raddish White(Local),2023-01-04,Kg,22,35,28
Brinjal Long,2023-01-04,Kg,45,63,54
Cow pea(Long),2023-01-04,Kg,66,113,89
Green Peas,2023-01-04,Kg,132,156,144
French Bean(Local),2023-01-04,Kg,55,88,71
Bitter Gourd,2023-01-04,Kg,77,122,99
Bottle Gourd,2023-01-04,Kg,39,67,53
Pointed Gourd(Local),2023-01-04,Kg,60,90,75
Snake Gourd,2023-01-04,Kg,53,76,64
Sponge Gourd,2023-01-04,Kg,64,99,81
Pumpkin,2023-01-04,Kg,34,50,42
Squash(Long),2023-01-04,Kg,37,65,51
Okra,2023-01-04,Kg,72,99,85
Arum,2023-01-04,Kg,59,84,71
Barela,2023-01-04,Kg,42,53,47
Radish Red,2023-01-04,Kg,30,44,37
Mushroom(Button),2023-01-04,Kg,377,485,431
Mushroom(Kanya),2023-01-04,Kg,156,223,189
Spinach Leaf,2023-01-04,Kg,95,125,110
Mustard Leaf,2023-01-04,Kg,44,61,52
Coriander,2023-01-04,Kg,156,289,222
Garlic Dry Nepali,2023-01-04,Kg,195,320,257
Garlic Dry Chinese,2023-01-04,Kg,273,331,302
Ginger,2023-01-04,Kg,160,217,188
Chilly Green,2023-01-04,Kg,81,131,106
Capsicum,2023-01-04,Kg,93,153,123
Cucumber(Local),2023-01-04,Kg,57,100,78
Apple(Jholey),2023-01-04,Kg,159,262,210
Banana,2023-01-04,Dozen,93,159,126
Pomegranate,2023-01-04,Kg,256,344,300
Orange(Nepali),2023-01-04,Kg,78,141,109
Papaya(Indian),2023-01-04,Kg,88,115,101
Tomato Big(Nepali),2023-01-05,Kg,37,62,49
Tomato Small(Local),2023-01-05,Kg,32,57,44
Potato Red,2023-01-05,Kg,48,81,64
Potato White,2023-01-05,Kg,44,62,53
Onion Dry (Indian),2023-01-05,Kg,67,101,84
Carrot(Local),2023-01-05,Kg,75,124,99
Cabbage(Local),2023-01-05,Kg,32,47,39
Cauliflower Local,2023-01-05,Kg,51,90,70
Raddish White(Local),2023-01-05,Kg,20,36,28
Brinjal Long,2023-01-05,Kg,47,73,60
Cow pea(Long),2023-01-05,Kg,65,107,86
Green Peas,2023-01-05,Kg,124,145,134
French Bean(Local),2023-01-05,Kg,66,94,80
Bitter Gourd,2023-01-05,Kg,73,128,100
Bottle Gourd,2023-01-05,Kg,42,67,54
Pointed Gourd(Local),2023-01-05,Kg,56,88,72
Snake Gourd,2023-01-05,Kg,51,70,60
Sponge Gourd,2023-01-05,Kg,64,96,80
Pumpkin,2023-01-05,Kg,35,54,44
Squash(Long),2023-01-05,Kg,40,59,49
Okra,2023-01-05,Kg,76,98,87
Arum,2023-01-05,Kg,66,80,73
Barela,2023-01-05,Kg,41,58,49
Radish Red,2023-01-05,Kg,30,49,39
Mushroom(Button),2023-01-05,Kg,380,522,451
Mushroom(Kanya),2023-01-05,Kg,151,221,186
Spinach Leaf,2023-01-05,Kg,95,118,106
Mustard Leaf,2023-01-05,Kg,39,67,53
Coriander,2023-01-05,Kg,154,285,219
Garlic Dry Nepali,2023-01-05,Kg,193,292,242
Garlic Dry Chinese,2023-01-05,Kg,246,343,294
Ginger,2023-01-05,Kg,141,243,192
Chilly Green,2023-01-05,Kg,78,120,99
Capsicum,2023-01-05,Kg,108,146,127
Cucumber(Local),2023-01-05,Kg,58,91,74
Apple(Jholey),2023-01-05,Kg,166,287,226
Banana,2023-01-05,Dozen,91,139,115
Pomegranate,2023-01-05,Kg,251,388,319
Orange(Nepali),2023-01-05,Kg,84,128,106
Papaya(Indian),2023-01-05,Kg,73,107,90
Tomato Big(Nepali),2023-01-06,Kg,38,67,52
Tomato Small(Local),2023-01-06,Kg,28,51,39
Potato Red,2023-01-06,Kg,55,80,67
Potato White,2023-01-06,Kg,38,63,50
Onion Dry (Indian),2023-01-06,Kg,55,105,80
Carrot(Local),2023-01-06,Kg,84,121,102
Cabbage(Local),2023-01-06,Kg,32,48,40
Cauliflower Local,2023-01-06,Kg,49,85,67
Raddish White(Local),2023-01-06,Kg,20,38,29
Brinjal Long,2023-01-06,Kg,46,63,54
Cow pea(Long),2023-01-06,Kg,77,111,94
Green Peas,2023-01-06,Kg,114,150,132
French Bean(Local),2023-01-06,Kg,62,88,75
Bitter Gourd,2023-01-06,Kg,76,132,104
Bottle Gourd,2023-01-06,Kg,40,68,54
Pointed Gourd(Local),2023-01-06,Kg,58,102,80
Snake Gourd,2023-01-06,Kg,49,73,61
Sponge Gourd,2023-01-06,Kg,66,98,82
Pumpkin,2023-01-06,Kg,36,53,44
Squash(Long),2023-01-06,Kg,40,60,50
Okra,2023-01-06,Kg,71,88,79
Arum,2023-01-06,Kg,63,87,75
Barela,2023-01-06,Kg,40,60,50
Radish Red,2023-01-06,Kg,27,48,37
Mushroom(Button),2023-01-06,Kg,361,482,421
Mushroom(Kanya),2023-01-06,Kg,138,206,172
Spinach Leaf,2023-01-06,Kg,89,131,110
Mustard Leaf,2023-01-06,Kg,41,70,55
Coriander,2023-01-06,Kg,161,262,211
Garlic Dry Nepali,2023-01-06,Kg,223,281,252
Garlic Dry Chinese,2023-01-06,Kg,260,351,305
Ginger,2023-01-06,Kg,150,239,194
Chilly Green,2023-01-06,Kg,87,136,111
Capsicum,2023-01-06,Kg,108,137,122
Cucumber(Local),2023-01-06,Kg,57,91,74
Apple(Jholey),2023-01-06,Kg,158,279,218
Banana,2023-01-06,Dozen,107,151,129
Pomegranate,2023-01-06,Kg,277,366,321
Orange(Nepali),2023-01-06,Kg,78,132,105
Papaya(Indian),2023-01-06,Kg,82,108,95
Tomato Big(Nepali),2023-01-07,Kg,39,63,51
Tomato Small(Local),2023-01-07,Kg,31,51,41
Potato Red,2023-01-07,Kg,54,78,66
Potato White,2023-01-07,Kg,42,57,49
Onion Dry (Indian),2023-01-07,Kg,62,98,80
Carrot(Local),2023-01-07,Kg,87,124,105
Cabbage(Local),2023-01-07,Kg,29,52,40
Cauliflower Local,2023-01-07,Kg,52,85,68
Raddish White(Local),2023-01-07,Kg,20,36,28
Brinjal Long,2023-01-07,Kg,46,65,55
Cow pea(Long),2023-01-07,Kg,73,106,89
Green Peas,2023-01-07,Kg,132,173,152
French Bean(Local),2023-01-07,Kg,67,85,76
Bitter Gourd,2023-01-07,Kg,77,117,97
Bottle Gourd,2023-01-07,Kg,43,70,56
Pointed Gourd(Local),2023-01-07,Kg,66,90,78
Snake Gourd,2023-01-07,Kg,49,70,59
Sponge Gourd,2023-01-07,Kg,57,83,70
Pumpkin,2023-01-07,Kg,38,56,47
Squash(Long),2023-01-07,Kg,42,58,50
Okra,2023-01-07,Kg,66,95,80
Arum,2023-01-07,Kg,55,78,66
Barela,2023-01-07,Kg,43,55,49
Radish Red,2023-01-07,Kg,33,49,41
Mushroom(Button),2023-01-07,Kg,375,497,436
Mushroom(Kanya),2023-01-07,Kg,150,202,176
Spinach Leaf,2023-01-07,Kg,95,137,116
Mustard Leaf,2023-01-07,Kg,38,68,53
Coriander,2023-01-07,Kg,145,272,208
Garlic Dry Nepali,2023-01-07,Kg,219,284,251
Garlic Dry Chinese,2023-01-07,Kg,274,336,305
Ginger,2023-01-07,Kg,168,232,200
Chilly Green,2023-01-07,Kg,75,123,99
Capsicum,2023-01-07,Kg,93,157,125
Cucumber(Local),2023-01-07,Kg,57,102,79
Apple(Jholey),2023-01-07,Kg,163,280,221
Banana,2023-01-07,Dozen,105,142,123
Pomegranate,2023-01-07,Kg,246,349,297
Orange(Nepali),2023-01-07,Kg,78,151,114
Papaya(Indian),2023-01-07,Kg,79,129,104
Tomato Big(Nepali),2023-01-08,Kg,43,63,53
Tomato Small(Local),2023-01-08,Kg,27,58,42
Potato Red,2023-01-08,Kg,56,69,62
Potato White,2023-01-08,Kg,43,61,52
Onion Dry (Indian),2023-01-08,Kg,67,93,80
Carrot(Local),2023-01-08,Kg,79,113,96
Cabbage(Local),2023-01-08,Kg,30,50,40
Cauliflower Local,2023-01-08,Kg,54,83,68
Raddish White(Local),2023-01-08,Kg,18,37,27
Brinjal Long,2023-01-08,Kg,47,69,58
Cow pea(Long),2023-01-08,Kg,77,111,94
Green Peas,2023-01-08,Kg,119,153,136
French Bean(Local),2023-01-08,Kg,67,98,82
Bitter Gourd,2023-01-08,Kg,78,141,109
Bottle Gourd,2023-01-08,Kg,44,69,56
Pointed Gourd(Local),2023-01-08,Kg,57,93,75
Snake Gourd,2023-01-08,Kg,55,77,66
Sponge Gourd,2023-01-08,Kg,60,96,78
Pumpkin,2023-01-08,Kg,34,57,45
Squash(Long),2023-01-08,Kg,38,70,54
Okra,2023-01-08,Kg,67,94,80
Arum,2023-01-08,Kg,56,87,71
Barela,2023-01-08,Kg,43,54,48
Radish Red,2023-01-08,Kg,31,51,41
Mushroom(Button),2023-01-08,Kg,348,504,426
Mushroom(Kanya),2023-01-08,Kg,166,199,182
Spinach Leaf,2023-01-08,Kg,101,129,115
Mustard Leaf,2023-01-08,Kg,43,58,50
Coriander,2023-01-08,Kg,164,261,212
Garlic Dry Nepali,2023-01-08,Kg,199,303,251
Garlic Dry Chinese,2023-01-08,Kg,259,334,296
Ginger,2023-01-08,Kg,141,247,194
Chilly Green,2023-01-08,Kg,85,130,107
Capsicum,2023-01-08,Kg,103,160,131
Cucumber(Local),2023-01-08,Kg,57,95,76
Apple(Jholey),2023-01-08,Kg,143,287,215
Banana,2023-01-08,Dozen,110,150,130
Pomegranate,2023-01-08,Kg,234,394,314
Orange(Nepali),2023-01-08,Kg,74,146,110
Papaya(Indian),2023-01-08,Kg,77,114,95
Tomato Big(Nepali),2023-01-09,Kg,41,66,53
Tomato Small(Local),2023-01-09,Kg,31,51,41
Potato Red,2023-01-09,Kg,48,69,58
Potato White,2023-01-09,Kg,40,62,51
Onion Dry (Indian),2023-01-09,Kg,59,94,76
Carrot(Local),2023-01-09,Kg,77,118,97
Cabbage(Local),2023-01-09,Kg,33,48,40
Cauliflower Local,2023-01-09,Kg,51,80,65
Raddish White(Local),2023-01-09,Kg,21,37,29
Brinjal Long,2023-01-09,Kg,44,76,60
Cow pea(Long),2023-01-09,Kg,74,103,88
Green Peas,2023-01-09,Kg,126,172,149
French Bean(Local),2023-01-09,Kg,66,92,79
Bitter Gourd,2023-01-09,Kg,86,119,102
Bottle Gourd,2023-01-09,Kg,45,60,52
Pointed Gourd(Local),2023-01-09,Kg,61,96,78
Snake Gourd,2023-01-09,Kg,46,70,58
Sponge Gourd,2023-01-09,Kg,58,87,72
Pumpkin,2023-01-09,Kg,38,56,47
Squash(Long),2023-01-09,Kg,42,60,51
Okra,2023-01-09,Kg,77,95,86
Arum,2023-01-09,Kg,59,92,75
Barela,2023-01-09,Kg,41,61,51
Radish Red,2023-01-09,Kg,31,47,39
Mushroom(Button),2023-01-09,Kg,339,445,392
Mushroom(Kanya),2023-01-09,Kg,143,233,188
Spinach Leaf,2023-01-09,Kg,100,135,117
Mustard Leaf,2023-01-09,Kg,38,68,53
Coriander,2023-01-09,Kg,150,290,220
Garlic Dry Nepali,2023-01-09,Kg,207,312,259
Garlic Dry Chinese,2023-01-09,Kg,282,374,328
Ginger,2023-01-09,Kg,140,235,187
Chilly Green,2023-01-09,Kg,79,131,105
Capsicum,2023-01-09,Kg,109,149,129
Cucumber(Local),2023-01-09,Kg,60,104,82
Apple(Jholey),2023-01-09,Kg,139,290,214
Banana,2023-01-09,Dozen,96,146,121
Pomegranate,2023-01-09,Kg,237,374,305
Orange(Nepali),2023-01-09,Kg,77,152,114
Papaya(Indian),2023-01-09,Kg,75,128,101
Tomato Big(Nepali),2023-01-10,Kg,38,64,51
Tomato Small(Local),2023-01-10,Kg,32,58,45
Potato Red,2023-01-10,Kg,56,75,65
Potato White,2023-01-10,Kg,44,65,54
Onion Dry (Indian),2023-01-10,Kg,64,88,76
Carrot(Local),2023-01-10,Kg,81,110,95
Cabbage(Local),2023-01-10,Kg,31,44,37
Cauliflower Local,2023-01-10,Kg,48,89,68
Raddish White(Local),2023-01-10,Kg,20,40,30
Brinjal Long,2023-01-10,Kg,50,67,58
Cow pea(Long),2023-01-10,Kg,79,103,91
Green Peas,2023-01-10,Kg,119,170,144
French Bean(Local),2023-01-10,Kg,58,92,75
Bitter Gourd,2023-01-10,Kg,75,121,98
Bottle Gourd,2023-01-10,Kg,41,59,50
Pointed Gourd(Local),2023-01-10,Kg,67,92,79
Snake Gourd,2023-01-10,Kg,50,79,64
Sponge Gourd,2023-01-10,Kg,58,94,76
Pumpkin,2023-01-10,Kg,33,53,43
Squash(Long),2023-01-10,Kg,37,68,52
Okra,2023-01-10,Kg,72,100,86
Arum,2023-01-10,Kg,62,82,72
Barela,2023-01-10,Kg,41,59,50
Radish Red,2023-01-10,Kg,32,52,42
Mushroom(Button),2023-01-10,Kg,378,490,434
Mushroom(Kanya),2023-01-10,Kg,141,230,185
Spinach Leaf,2023-01-10,Kg,91,140,115
Mustard Leaf,2023-01-10,Kg,45,68,56
Coriander,2023-01-10,Kg,141,259,200
Garlic Dry Nepali,2023-01-10,Kg,195,295,245
Garlic Dry Chinese,2023-01-10,Kg,261,320,290
Ginger,2023-01-10,Kg,146,235,190
Chilly Green,2023-01-10,Kg,86,128,107
Capsicum,2023-01-10,Kg,112,146,129
Cucumber(Local),2023-01-10,Kg,65,92,78
Apple(Jholey),2023-01-10,Kg,157,279,218
Banana,2023-01-10,Dozen,93,155,124
Pomegranate,2023-01-10,Kg,283,357,320
Orange(Nepali),2023-01-10,Kg,83,130,106
Papaya(Indian),2023-01-10,Kg,83,108,95
Tomato Big(Nepali),2023-01-11,Kg,41,63,52
Tomato Small(Local),2023-01-11,Kg,30,57,43
Potato Red,2023-01-11,Kg,47,73,60
Potato White,2023-01-11,Kg,39,58,48
Onion Dry (Indian),2023-01-11,Kg,66,101,83
Carrot(Local),2023-01-11,Kg,86,109,97
Cabbage(Local),2023-01-11,Kg,31,51,41
Cauliflower Local,2023-01-11,Kg,55,89,72
Raddish White(Local),2023-01-11,Kg,21,38,29
Brinjal Long,2023-01-11,Kg,51,76,63
Cow pea(Long),2023-01-11,Kg,78,101,89
Green Peas,2023-01-11,Kg,124,161,142
French Bean(Local),2023-01-11,Kg,58,84,71
Bitter Gourd,2023-01-11,Kg,90,140,115
Bottle Gourd,2023-01-11,Kg,39,68,53
Pointed Gourd(Local),2023-01-11,Kg,62,98,80
Snake Gourd,2023-01-11,Kg,56,75,65
Sponge Gourd,2023-01-11,Kg,61,89,75
Pumpkin,2023-01-11,Kg,34,49,41
Squash(Long),2023-01-11,Kg,42,62,52
Okra,2023-01-11,Kg,70,92,81
Arum,2023-01-11,Kg,66,92,79
Barela,2023-01-11,Kg,41,61,51
Radish Red,2023-01-11,Kg,29,48,38
Mushroom(Button),2023-01-11,Kg,360,498,429
Mushroom(Kanya),2023-01-11,Kg,144,236,190
Spinach Leaf,2023-01-11,Kg,92,125,108
Mustard Leaf,2023-01-11,Kg,44,61,52
Coriander,2023-01-11,Kg,161,266,213
Garlic Dry Nepali,2023-01-11,Kg,204,329,266
Garlic Dry Chinese,2023-01-11,Kg,284,378,331
Ginger,2023-01-11,Kg,156,228,192
Chilly Green,2023-01-11,Kg,76,119,97
Capsicum,2023-01-11,Kg,95,158,126
Cucumber(Local),2023-01-11,Kg,61,100,80
Apple(Jholey),2023-01-11,Kg,165,286,225
Banana,2023-01-11,Dozen,110,157,133
Pomegranate,2023-01-11,Kg,267,362,314
Orange(Nepali),2023-01-11,Kg,79,141,110
Papaya(Indian),2023-01-11,Kg,85,129,107
Tomato Big(Nepali),2023-01-12,Kg,40,62,51
Tomato Small(Local),2023-01-12,Kg,28,52,40
Potato Red,2023-01-12,Kg,53,80,66
Potato White,2023-01-12,Kg,39,55,47
Onion Dry (Indian),2023-01-12,Kg,61,98,79
Carrot(Local),2023-01-12,Kg,85,127,106
Cabbage(Local),2023-01-12,Kg,31,52,41
Cauliflower Local,2023-01-12,Kg,56,92,74
Raddish White(Local),2023-01-12,Kg,21,40,30
Brinjal Long,2023-01-12,Kg,47,77,62
Cow pea(Long),2023-01-12,Kg,68,110,89
Green Peas,2023-01-12,Kg,130,165,147
French Bean(Local),2023-01-12,Kg,57,95,76
Bitter Gourd,2023-01-12,Kg,78,141,109
Bottle Gourd,2023-01-12,Kg,38,69,53
Pointed Gourd(Local),2023-01-12,Kg,60,92,76
Snake Gourd,2023-01-12,Kg,49,79,64
Sponge Gourd,2023-01-12,Kg,65,89,77
Pumpkin,2023-01-12,Kg,34,54,44
Squash(Long),2023-01-12,Kg,38,70,54
Okra,2023-01-12,Kg,67,106,86
Arum,2023-01-12,Kg,66,92,79
Barela,2023-01-12,Kg,42,56,49
Radish Red,2023-01-12,Kg,30,49,39
Mushroom(Button),2023-01-12,Kg,352,517,434
Mushroom(Kanya),2023-01-12,Kg,141,206,173
Spinach Leaf,2023-01-12,Kg,103,122,112
Mustard Leaf,2023-01-12,Kg,38,70,54
Coriander,2023-01-12,Kg,158,289,223
Garlic Dry Nepali,2023-01-12,Kg,217,286,251
Garlic Dry Chinese,2023-01-12,Kg,250,319,284
Ginger,2023-01-12,Kg,144,240,192
Chilly Green,2023-01-12,Kg,78,142,110
Capsicum,2023-01-12,Kg,100,164,132
Cucumber(Local),2023-01-12,Kg,65,91,78
Apple(Jholey),2023-01-12,Kg,170,274,222
Banana,2023-01-12,Dozen,109,150,129
Pomegranate,2023-01-12,Kg,271,415,343
Orange(Nepali),2023-01-12,Kg,80,153,116
Papaya(Indian),2023-01-12,Kg,84,110,97
Tomato Big(Nepali),2023-01-13,Kg,40,63,51
Tomato Small(Local),2023-01-13,Kg,30,50,40
Potato Red,2023-01-13,Kg,47,69,58
Potato White,2023-01-13,Kg,39,61,50
Onion Dry (Indian),2023-01-13,Kg,60,100,80
Carrot(Local),2023-01-13,Kg,88,109,98
Cabbage(Local),2023-01-13,Kg,30,45,37
Cauliflower Local,2023-01-13,Kg,52,80,66
Raddish White(Local),2023-01-13,Kg,21,39,30
Brinjal Long,2023-01-13,Kg,48,73,60
Cow pea(Long),2023-01-13,Kg,77,108,92
Green Peas,2023-01-13,Kg,118,163,140
French Bean(Local),2023-01-13,Kg,61,88,74
Bitter Gourd,2023-01-13,Kg,78,121,99
Bottle Gourd,2023-01-13,Kg,43,64,53
Pointed Gourd(Local),2023-01-13,Kg,61,106,83
Snake Gourd,2023-01-13,Kg,54,74,64
Sponge Gourd,2023-01-13,Kg,66,91,78
Pumpkin,2023-01-13,Kg,36,50,43
Squash(Long),2023-01-13,Kg,42,70,56
Okra,2023-01-13,Kg,79,98,88
Arum,2023-01-13,Kg,56,86,71
Barela,2023-01-13,Kg,44,62,53
Radish Red,2023-01-13,Kg,28,48,38
Mushroom(Button),2023-01-13,Kg,338,484,411
Mushroom(Kanya),2023-01-13,Kg,142,219,180
Spinach Leaf,2023-01-13,Kg,100,138,119
Mustard Leaf,2023-01-13,Kg,44,68,56
Coriander,2023-01-13,Kg,146,296,221
Garlic Dry Nepali,2023-01-13,Kg,202,290,246
Garlic Dry Chinese,2023-01-13,Kg,260,341,300
Ginger,2023-01-13,Kg,143,235,189
Chilly Green,2023-01-13,Kg,87,135,111
Capsicum,2023-01-13,Kg,104,152,128
Cucumber(Local),2023-01-13,Kg,68,100,84
Apple(Jholey),2023-01-13,Kg,158,260,209
Banana,2023-01-13,Dozen,97,156,126
Pomegranate,2023-01-13,Kg,241,370,305
Orange(Nepali),2023-01-13,Kg,89,151,120
Papaya(Indian),2023-01-13,Kg,85,128,106
Tomato Big(Nepali),2023-01-14,Kg,38,67,52
Tomato Small(Local),2023-01-14,Kg,28,59,43
Potato Red,2023-01-14,Kg,57,76,66
Potato White,2023-01-14,Kg,42,64,53
Onion Dry (Indian),2023-01-14,Kg,68,95,81
Carrot(Local),2023-01-14,Kg,81,129,105
Cabbage(Local),2023-01-14,Kg,33,52,42
Cauliflower Local,2023-01-14,Kg,56,79,67
Raddish White(Local),2023-01-14,Kg,19,38,28
Brinjal Long,2023-01-14,Kg,42,64,53
Cow pea(Long),2023-01-14,Kg,69,108,88
Green Peas,2023-01-14,Kg,113,174,143
French Bean(Local),2023-01-14,Kg,65,85,75
Bitter Gourd,2023-01-14,Kg,89,141,115
Bottle Gourd,2023-01-14,Kg,43,71,57
Pointed Gourd(Local),2023-01-14,Kg,68,107,87
Snake Gourd,2023-01-14,Kg,47,71,59
Sponge Gourd,2023-01-14,Kg,64,85,74
Pumpkin,2023-01-14,Kg,40,50,45
Squash(Long),2023-01-14,Kg,43,62,52
Okra,2023-01-14,Kg,70,98,84
Arum,2023-01-14,Kg,58,94,76
Barela,2023-01-14,Kg,45,57,51
Radish Red,2023-01-14,Kg,28,53,40
Mushroom(Button),2023-01-14,Kg,331,455,393
Mushroom(Kanya),2023-01-14,Kg,149,206,177
Spinach Leaf,2023-01-14,Kg,96,139,117
Mustard Leaf,2023-01-14,Kg,42,70,56
Coriander,2023-01-14,Kg,151,261,206
Garlic Dry Nepali,2023-01-14,Kg,196,299,247
Garlic Dry Chinese,2023-01-14,Kg,287,322,304
Ginger,2023-01-14,Kg,152,263,207
Chilly Green,2023-01-14,Kg,80,122,101
Capsicum,2023-01-14,Kg,105,154,129
Cucumber(Local),2023-01-14,Kg,57,103,80
Apple(Jholey),2023-01-14,Kg,161,269,215
